140,
Luna,02/14/2020,57.81,Bird,flies,
Simba,01/08/2022,36.23,Reptile,cold-blooded,
Max,07/17/2021,46.94,Small Animal,yes,
Ginger,11/21/2018,181.16,Dog,Foxhound,
Shadow,03/12/2022,52.72,Cat,Burmilla,
Charlie,09/02/2019,163.06,Small Animal,yes, 
Bella,06/05/2019,43.02,Rabbit,no,
Lucky,02/01/2022,145.88,Small Animal,yes,
Oliver,12/07/2020,85.52,Cat,Cymric,
Daisy,01/15/2023,9.47,Rabbit,no, 
Rocky,12/27/2018,107.71,Reptile,warm, 
Molly,04/19/2021,84.87,Small Animal,yes, 
Tucker,02/14/2023,30.01,Cat,Korat,
Lucy,07/28/2020,121.19,Rabbit,no, 
Leo,11/06/2022,59.33,Small Animal,yes, 
Sadie,05/22/2019,42.22,Reptile,warm, 
Coco,12/04/2018,129.6,Cat,Siberian Forest Cat,
Buddy,05/11/2020,80.43,Small Animal,yes, 
Daisy,03/09/2021,77.96,Bird,walks,
Pepper,08/29/2022,108.48,Rabbit,yes,
Zeus,06/10/2020,70.92,Dog,Havanese,
Bailey,12/02/2021,96.55,Bird,flies,
Ruby,12/20/2022,180.27,Rabbit,no, 
Thor,03/28/2023,150.2,Small Animal,yes, 
Rosie,10/14/2018,94.7,Reptile,warm, 
Bandit,01/31/2019,101.44,Small Animal,yes, 
Chloe,01/23/2020,137.74,Cat,Dragon Li,
Duke,05/07/2021,117.52,Rabbit,yes,
Maggie,03/20/2023,22.81,Dog,Keeshond,
Milo,09/12/2018,19.76,Small Animal,yes, 
Ginger,08/08/2020,29.17,Reptile,warm, 
Blue,09/16/2021,53.06,Small Animal,yes, 
Lola,07/21/2019,39.19,Rabbit,yes,
Harley,07/01/2022,133.89,Cat,Peterbald,
Abby,09/19/2020,160.15,Small Animal,yes, 
Finn,04/02/2023,88.1,Bird,walks,
Roxy,05/10/2022,121.56,Small Animal,yes, 
Winston,12/14/2018,25.44,Reptile,warm, 
Mia,04/01/2019,78.83,Rabbit,no, 
Bear,10/30/2021,137.12,Cat,Colorpoint Shorthair,
Stella,01/02/2023,40.95,Small Animal,yes, 
Jack,04/27/2020,73.57,Dog,Dalmatian,
Nala,09/11/2022,60.23,Rabbit,yes,
Rusty,06/24/2019,137.79,Small Animal,yes, 
Gatsby,11/01/2018,140.63,Reptile,cold-blooded,
Koda,02/18/2021,111.36,Small Animal,yes, 
Marley,01/28/2023,31.76,Cat,Selkirk Rex,
Gigi,02/14/2019,152.37,Rabbit,yes,
Samson,11/11/2020,129.66,Small Animal,yes, 
Phoebe,06/08/2022,45.08,Bird,walks,
Baxter,10/03/2018,83.01,Rabbit,no, 
Cleo,06/23/2021,127.47,Small Animal,yes, 
Bruno,11/17/2019,83.63,Dog,Collie,
Luna,04/04/2022,159.1,Cat,Highlander,
Zeus,02/07/2023,53.14, Small Animal,yes, 
Jasper,02/23/2020,86.02,Reptile,cold-blooded,
Poppy,01/11/2021,17.36,Small Animal,yes, 
Cleo,09/24/2018,109.97,Rabbit,yes,
Zeus,01/25/2022,56.38,Cat,Sokoke,
Sadie,07/09/2020,18.83,Bird,flies,
Mimi,03/24/2021,147.15,Small Animal,no, 
Max,09/16/2019,136.24,Reptile,warm,
Taz,03/06/2023,74.33,Rabbit,yes,
Poppy,11/19/2022,87.6,Dog,Chow Chow,
Sasha,12/09/2018,56.94,Small Animal,yes, 
Lulu,05/25/2020,37.72,Cat,Javanese,
Thor,11/03/2021,98.18,Bird,flies,
Peanut,05/10/2019,60.44,Small Animal,no, 
Oscar,08/13/2022,106.46,Rabbit,no,
Piper,09/01/2020,179.24,Reptile,cold-blooded,
Luna,02/14/2020,152.53,Cat,Kurilian Bobtail,
Simba,01/08/2022,55.69,Small Animal,yes,
Max,07/17/2021,82.38,Reptile,warm, 
Ginger,11/21/2018,198.25,Bird,walks,
Shadow,03/12/2022,61.67,Rabbit,yes,
Charlie,09/02/2019,144.1,Small Animal,no, 
Bella,06/05/2019,97.36,Dog,Basenji,
Lucky,02/01/2022,144.87,Small Animal,no, 
Oliver,12/07/2020,57.67,Rabbit,no, 
Daisy,01/15/2023,82.79,Reptile,cold-blooded,
Rocky,12/27/2018,88.67,Small Animal,yes, 
Molly,04/19/2021,143.48,Bird,walks,
Tucker,02/14/2023,75.03,Small Animal,no, 
Lucy,07/28/2020,133.89,Cat,American Curl,
Leo,11/06/2022,19.9,Rabbit,yes,
Sadie,05/22/2019,135.08,Reptile,cold-blooded,
Coco,12/04/2018,114.53,Small Animal,yes, 
Buddy,05/11/2020,115.72,Dog,Afghan Hound,
Pepper,03/09/2021,125.88,Small Animal,no, 
Zeus,08/29/2022,123.09,Rabbit,yes,
Bailey,06/10/2020,38.62,Cat,Tiffany,
Ruby,12/02/2021,181.41,Small Animal,yes, 
Thor,12/20/2022,110.49,Reptile,cold-blooded,
Rosie,03/28/2023,71.6,Small Animal,yes, 
Bandit,10/14/2018,94.17,Bird,flies,
Chloe,01/31/2019,177.52,Rabbit,no, 
Duke,01/23/2020,132.52,Small Animal,yes, 
Maggie,05/07/2021,39.33,Dog,Scottish Terrier,
Milo,03/20/2023,81.05,Cat,Khao Manee,
Blue,09/12/2018,30.69,Small Animal,yes, 
Lola,08/08/2020,86.05,Reptile,warm,
Harley,09/16/2021,120.53,Rabbit,yes,
Abby,07/21/2019,34.6,Small Animal,yes, 
Finn,07/01/2022,59.41,Bird,walks,
Roxy,09/19/2020,48.81,Small Animal,yes, 
Winston,04/02/2023,64.76,Rabbit,no, 
Mia,05/10/2022,57.81,Reptile,warm, 
Bear,12/14/2018,36.23,Small Animal,yes, 
Stella,04/01/2019,46.94,Cat,Oriental Shorthair,
Jack,10/30/2021,181.16,Small Animal,yes, 
Nala,01/02/2023,52.72,Dog,Lhasa Apso,
Rusty,04/27/2020,163.06,Small Animal,yes, 
Gatsby,09/11/2022,43.02,Rabbit,yes,
Koda,06/24/2019,145.88,Reptile,cold-blooded,
Marley,11/01/2018,85.52,Small Animal,yes, 
Gigi,02/18/2021,9.47,Cat,Siberian,
Samson,01/28/2023,107.71,Small Animal,yes, 
Phoebe,02/14/2019,84.87,Bird,flies,
Baxter,11/11/2020,30.01,Rabbit,no, 
Cleo,06/08/2022,121.19,Small Animal,yes, 
Bruno,10/03/2018,59.33,Reptile,warm, 
Luna,06/23/2021,42.22,Small Animal,yes, 
Zeus,11/17/2019,129.6,Cat,Toyger,
Jasper,04/04/2022,80.43,Rabbit,yes,
Poppy,02/07/2023,77.96,Small Animal,yes, 
Cleo,02/23/2020,108.48,Dog,Bloodhound,
Zeus,01/11/2021,70.92,Small Animal,yes, 
Sadie,09/24/2018,96.55,Reptile,warm, 
Mimi,01/25/2022,180.27,Small Animal,yes, 
Max,07/09/2020,150.2,Rabbit,no, 
Taz,03/24/2021,94.7,Bird,walks,
Poppy,09/16/2019,101.44,Small Animal,yes, 
Sasha,03/06/2023,137.74,Cat,Aegean,
Lulu,11/19/2022,117.52,Reptile,cold-blooded,
Thor,12/09/2018,22.81,Small Animal,yes, 
Peanut,05/25/2020,19.76,Rabbit,yes,
Oscar,11/03/2021,29.17,Small Animal,yes, 
Piper,05/10/2019,53.06,Dog,English Mastiff,
Shadow,08/13/2022,39.19,Small Animal,yes, 
Bella,09/01/2020,133.89,Bird,walks
